Time_sec,Resistance_Ohm,Stage,HeartRate_BPM,Resistance_Ohm_Normalized,HeartRate_BPM_Normalized
393,11563.98,Stress,120.0,0.8019432030807438,0.931034482758621
394,11151.86,Stress,120.0,0.5661266972986274,0.931034482758621
395,11507.35,Stress,119.0,0.7695393189633961,0.8965517241379306
396,11910.11,Stress,119.0,1.0,0.8965517241379306
397,10914.2,Stress,119.0,0.43013681385648095,0.8965517241379306
398,11272.73,Stress,119.0,0.6352889341565433,0.8965517241379306
399,11053.98,Stress,119.0,0.5101194188701266,0.8965517241379306
400,11317.02,Stress,119.0,0.660631827102991,0.8965517241379306
401,11294.85,Stress,119.0,0.6479460755423059,0.8965517241379306
402,11206.63,Stress,119.0,0.5974662829088535,0.8965517241379306
403,10765.72,Stress,122.0,0.34517603840629896,1.0
404,10536.61,Stress,120.0,0.21407849487591868,0.931034482758621
405,10839.69,Stress,120.0,0.387501931186808,0.931034482758621
406,10829.09,Stress,120.0,0.38143657410321463,0.931034482758621
407,10882.2,Stress,118.0,0.4118263019060109,0.8620689655172411
408,10797.36,Stress,118.0,0.363280557097327,0.8620689655172411
409,10776.25,Stress,117.0,0.3512013412450008,0.8275862068965516
410,10629.72,Stress,117.0,0.26735636261680096,0.8275862068965516
411,10957.01,Stress,117.0,0.4546328456252189,0.8275862068965516
412,10755.2,Stress,117.0,0.3391564576025825,0.8275862068965516
413,10776.25,Stress,117.0,0.3512013412450008,0.8275862068965516
414,10650.53,Stress,117.0,0.2792639174195921,0.8275862068965516
415,10807.93,Stress,116.0,0.36932874807596594,0.7931034482758621
416,10903.52,Stress,115.0,0.4240256804930107,0.7586206896551726
417,10734.18,Stress,114.0,0.32712874006511683,0.7241379310344827
418,10744.68,Stress,113.0,0.33313687679886517,0.6896551724137931
419,10871.56,Stress,112.0,0.40573805668247864,0.6551724137931032
420,10967.74,Stress,111.0,0.46077258916360986,0.6206896551724137
421,10807.93,Stress,110.0,0.36932874807596594,0.5862068965517242
422,10989.24,Stress,110.0,0.4730749643803325,0.5862068965517242
423,11010.78,Stress,110.0,0.4854002277369931,0.5862068965517242
424,10640.12,Stress,110.0,0.2733072790007043,0.5862068965517242
425,11130.03,Stress,110.0,0.5536354949274163,0.5862068965517242
426,10619.33,Stress,110.0,0.261411168267883,0.5862068965517242
427,11151.86,Stress,109.0,0.5661266972986274,0.5517241379310343
428,10608.96,Stress,109.0,0.2554774179889332,0.5517241379310343
429,11151.86,Stress,108.0,0.5661266972986274,0.5172413793103448
430,10671.38,Stress,108.0,0.2911943603623195,0.5172413793103448
431,10839.69,Stress,109.0,0.387501931186808,0.5517241379310343
432,10829.09,Stress,110.0,0.38143657410321463,0.5862068965517242
433,10807.93,Stress,111.0,0.36932874807596594,0.6206896551724137
434,11010.78,Stress,111.0,0.4854002277369931,0.6206896551724137
435,11317.02,Stress,111.0,0.660631827102991,0.6206896551724137
436,11563.98,Stress,110.0,0.8019432030807438,0.5862068965517242
437,11217.62,Stress,110.0,0.6037547993568442,0.5862068965517242
