df_hash,22ZHK4.KE15WD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1X32
person_label,V155
date_time_start,2026-06-08_19-32-32.863000_+03
date_time_start_unix,1780929152.863
date_time_end,2026-06-08_19-45-47.480000_+03
length_difference_noticed,no

time,acc_mag
52.812,1.023
52.842,1.027
52.872,1.024
52.902,1.026
52.932,1.021
52.962,1.021
52.992,1.022
53.022,1.023
53.052,1.027
53.082,1.023
53.112,1.022
53.142,1.021
53.172,1.020
53.202,1.023
53.232,1.027
53.262,1.025
53.292,1.019
53.322,1.030
53.352,1.028
53.382,1.021
53.412,1.021
53.442,1.024
53.472,1.024
53.502,1.023
53.532,1.022
53.562,1.024
53.592,1.024
53.622,1.021
53.652,1.023
53.682,1.023
53.712,1.024
53.742,1.021
53.772,1.023
53.802,1.022
53.832,1.027
53.862,1.025
53.892,1.017
