df_hash,22ZHK4.724P3P
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YWVP
person_label,V66
date_time_start,2025-10-31_17-05-59.075000_+03
date_time_start_unix,1761915959.075
date_time_end,2025-10-31_17-14-45.320000_+03
length_difference_noticed,no

time,acc_mag
42.917,1.027
42.947,1.028
42.977,1.026
43.007,1.027
43.037,1.025
43.067,1.026
43.097,1.025
43.127,1.023
43.157,1.025
43.187,1.028
43.217,1.028
43.247,1.027
43.277,1.027
43.307,1.029
43.337,1.031
43.367,1.028
43.397,1.025
43.427,1.022
43.457,1.031
43.487,1.033
43.517,1.030
43.547,1.029
43.577,1.028
43.607,1.027
43.637,1.028
43.667,1.026
43.697,1.024
43.727,1.027
43.757,1.029
43.787,1.029
43.817,1.024
43.847,1.025
43.877,1.027
43.907,1.021
43.937,1.025
43.967,1.026
43.997,1.028
44.027,1.028
44.057,1.028
44.087,1.030
44.117,1.028
44.147,1.030
44.177,1.025
44.207,1.020
44.237,1.034
44.267,1.029
44.297,1.026
44.327,1.029
44.357,1.026
44.387,1.026
44.417,1.028
44.447,1.026
44.477,1.024
44.507,1.030
44.537,1.026
44.567,1.030
44.597,1.025
44.627,1.025
44.657,1.022
44.687,1.025
44.717,1.028
44.747,1.029
44.777,1.025
44.807,1.025
44.837,1.027
44.867,1.029
44.897,1.030
44.927,1.028
44.957,1.021
44.987,1.022
45.017,1.033
45.047,1.032
45.077,1.026
45.107,1.027
45.137,1.028
45.167,1.028
45.197,1.025
45.227,1.021
45.257,1.022
45.287,1.027
45.317,1.027
45.347,1.029
45.377,1.026
45.407,1.026
45.437,1.029
45.467,1.027
45.497,1.029
45.527,1.028
45.557,1.025
45.587,1.025
45.617,1.026
45.647,1.026
45.677,1.029
45.707,1.023
45.737,1.028
45.767,1.024
45.797,1.030
45.827,1.028
45.857,1.023
45.887,1.029
45.917,1.027
45.947,1.025
45.977,1.035
46.007,1.028
46.037,1.024
46.067,1.024
46.097,1.026
46.127,1.023
46.157,1.023
46.187,1.023
46.217,1.023
46.247,1.023
46.277,1.023
46.307,1.023
46.337,1.027
46.367,1.025
46.397,1.021
46.427,1.023
46.457,1.019
46.487,1.021
46.517,1.024
46.547,1.033
46.577,1.029
46.607,1.027
46.637,1.030
46.667,1.029
46.697,1.028
46.727,1.029
46.757,1.028
46.787,1.025
46.817,1.027
46.847,1.026
46.877,1.028
46.907,1.031
46.937,1.025
46.967,1.022
46.997,1.027
47.027,1.025
47.057,1.028
47.087,1.026
47.117,1.027
47.147,1.029
47.177,1.028
47.207,1.027
47.237,1.029
47.267,1.028
47.297,1.027
47.327,1.026
47.357,1.030
47.387,1.027
47.417,1.025
47.447,1.024
47.477,1.031
47.507,1.025
47.537,1.027
47.567,1.027
47.597,1.027
47.627,1.023
47.657,1.023
47.687,1.029
47.717,1.023
47.747,1.025
47.777,1.026
47.807,1.026
47.837,1.032
47.867,1.028
47.897,1.023
47.927,1.018
47.957,1.018
47.987,1.029
48.017,1.032
48.047,1.031
48.077,1.033
48.107,1.032
48.137,1.025
48.167,1.023
48.197,1.025
48.227,1.024
48.257,1.027
48.287,1.028
48.317,1.030
48.347,1.024
48.377,1.021
48.407,1.023
48.437,1.025
48.467,1.029
48.497,1.027
48.527,1.030
48.557,1.030
48.587,1.026
48.617,1.028
48.647,1.029
48.677,1.028
48.707,1.023
48.737,1.033
48.767,1.030
48.797,1.027
48.827,1.028
48.857,1.031
48.887,1.025
48.917,1.026
48.947,1.029
48.977,1.027
49.007,1.031
49.037,1.029
49.067,1.028
49.097,1.022
49.127,1.027
49.157,1.022
49.187,1.028
49.217,1.030
49.247,1.028
49.277,1.027
49.307,1.027
49.337,1.028
49.367,1.033
49.397,1.024
49.427,1.023
49.457,1.026
49.487,1.030
49.517,1.031
49.547,1.028
49.577,1.032
49.607,1.029
49.637,1.026
49.667,1.030
49.697,1.026
49.727,1.020
49.757,1.027
49.787,1.028
49.817,1.029
49.847,1.030
49.877,1.028
49.907,1.023
49.937,1.028
49.967,1.027
49.997,1.028
50.027,1.024
50.057,1.025
50.087,1.027
50.117,1.023
50.147,1.024
50.177,1.022
50.207,1.034
50.237,1.028
50.267,1.027
50.297,1.026
50.327,1.025
50.357,1.028
50.387,1.028
50.417,1.028
50.447,1.024
50.477,1.027
50.507,1.030
50.537,1.028
50.567,1.026
50.597,1.019
50.627,1.022
50.657,1.023
50.687,1.028
50.717,1.029
50.747,1.029
50.777,1.024
50.807,1.025
50.837,1.022
50.867,1.021
50.897,1.032
50.927,1.026
50.957,1.025
50.987,1.026
51.017,1.025
51.047,1.027
51.077,1.026
51.107,1.029
51.137,1.028
51.167,1.027
51.197,1.027
51.227,1.026
51.257,1.027
51.287,1.023
51.317,1.023
51.347,1.027
51.377,1.029
51.407,1.028
51.437,1.025
51.467,1.031
51.497,1.024
51.527,1.025
51.557,1.031
51.587,1.026
51.617,1.029
51.647,1.028
51.677,1.026
51.707,1.029
51.737,1.024
51.767,1.027
51.797,1.026
51.827,1.031
51.857,1.028
51.887,1.030
51.917,1.030
51.947,1.025
51.977,1.025
52.007,1.023
52.037,1.023
52.067,1.029
52.097,1.029
52.127,1.027
52.157,1.031
52.187,1.021
52.217,1.029
52.247,1.028
52.277,1.032
52.307,1.030
52.337,1.026
52.367,1.024
52.397,1.027
52.427,1.029
52.457,1.021
52.487,1.029
52.517,1.030
52.547,1.026
52.577,1.029
52.607,1.025
52.637,1.023
52.667,1.024
52.697,1.023
52.727,1.029
52.757,1.030
52.787,1.027
52.817,1.031
52.847,1.035
52.877,1.030
52.907,1.023
52.937,1.029
52.967,1.031
52.997,1.027
53.027,1.028
53.057,1.031
