df_hash,22ZHK4.Z1ZPL9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UH07
person_label,V67
date_time_start,2025-10-31_17-31-54.657000_+03
date_time_start_unix,1761917514.657
date_time_end,2025-10-31_17-40-10.548000_+03
length_difference_noticed,no

time,acc_mag
34.911,1.018
34.941,1.019
34.971,1.021
35.001,1.033
35.031,1.026
35.061,1.034
35.091,1.021
35.121,1.026
35.151,1.023
35.181,1.026
35.211,1.023
35.241,1.023
35.271,1.025
35.301,1.025
35.331,1.025
35.361,1.021
35.391,1.026
35.421,1.025
35.451,1.034
35.481,1.030
35.511,1.036
35.541,1.017
35.571,1.026
35.601,1.024
35.631,1.027
35.661,1.031
35.691,1.021
35.721,1.024
35.751,1.020
35.781,1.026
35.811,1.025
35.841,1.031
35.871,1.019
35.901,1.016
35.931,1.019
35.961,1.025
35.991,1.026
36.021,1.029
36.051,1.026
36.081,1.031
36.111,1.023
36.141,1.019
36.171,1.021
36.201,1.023
36.231,1.024
36.261,1.025
36.291,1.021
36.321,1.026
36.351,1.025
36.381,1.021
36.411,1.028
36.441,1.028
36.471,1.033
36.501,1.023
36.531,1.036
36.561,1.030
36.591,1.010
36.621,1.012
36.651,1.020
36.681,1.024
36.711,1.033
36.741,1.040
36.771,1.026
36.801,1.028
36.831,1.021
36.861,1.021
36.891,1.021
36.921,1.030
36.951,1.021
36.981,1.020
37.011,1.024
37.041,1.021
37.071,1.026
37.101,1.026
37.131,1.021
37.161,1.023
37.191,1.027
37.221,1.027
37.251,1.019
37.281,1.035
37.311,1.024
37.341,1.019
37.371,1.021
37.401,1.026
37.431,1.030
37.461,1.021
37.491,1.023
37.521,1.039
37.551,1.035
37.581,1.023
37.611,1.027
37.641,1.018
37.671,1.021
37.701,1.019
37.731,1.021
37.761,1.026
37.791,1.029
37.821,1.031
37.851,1.033
37.881,1.023
37.911,1.023
37.941,1.027
37.971,1.023
38.001,1.020
38.031,1.021
38.061,1.017
38.091,1.023
38.121,1.023
38.151,1.030
38.181,1.032
38.211,1.021
38.241,1.019
38.271,1.026
38.301,1.017
38.331,1.027
38.361,1.021
38.391,1.029
38.421,1.024
38.451,1.022
38.481,1.024
38.511,1.021
38.541,1.022
38.571,1.023
38.601,1.027
38.631,1.024
38.661,1.021
38.691,1.024
38.721,1.035
38.751,1.035
38.781,1.030
38.811,1.019
38.841,1.034
38.871,1.022
38.901,1.014
38.931,1.023
38.961,1.033
38.991,1.032
39.021,1.036
39.051,1.012
39.081,1.034
39.111,1.025
39.141,1.023
39.171,1.029
39.201,1.021
39.231,1.025
39.261,1.028
39.291,1.032
39.321,1.021
39.351,1.031
39.381,1.029
39.411,1.035
39.441,1.021
39.471,1.034
39.501,1.019
39.531,1.025
39.561,1.023
39.591,1.025
39.621,1.034
39.651,1.046
39.681,1.019
39.711,1.028
39.741,1.031
39.771,1.020
39.801,1.019
39.831,1.029
39.861,1.024
39.891,1.021
39.921,1.026
39.951,1.025
39.981,1.021
40.011,1.024
40.041,1.021
40.071,1.028
40.101,1.025
40.131,1.019
40.161,1.027
40.191,1.029
40.221,1.026
40.251,1.020
40.281,1.032
40.311,1.024
40.341,1.025
40.371,1.022
40.401,1.024
40.431,1.025
40.461,1.025
40.491,1.025
40.521,1.027
40.551,1.026
40.581,1.029
40.611,1.028
40.641,1.028
40.671,1.021
40.701,1.032
40.731,1.023
40.761,1.022
40.791,1.032
40.821,1.023
40.851,1.023
40.881,1.023
40.911,1.014
40.941,1.029
40.971,1.020
41.001,1.031
41.031,1.026
41.061,1.023
41.091,1.021
41.121,1.025
41.151,1.036
41.181,1.024
41.211,1.022
41.241,1.022
41.271,1.025
41.301,1.023
41.331,1.025
41.361,1.025
41.391,1.024
41.421,1.026
41.451,1.027
41.481,1.022
41.511,1.025
41.541,1.027
41.571,1.025
41.601,1.024
41.631,1.021
41.661,1.027
41.691,1.028
41.721,1.021
41.751,1.025
41.781,1.027
41.811,1.033
41.841,1.021
41.871,1.021
41.901,1.028
41.931,1.024
41.961,1.021
41.991,1.026
42.021,1.030
42.051,1.026
42.081,1.028
42.111,1.021
42.141,1.018
42.171,1.015
42.201,1.025
42.231,1.024
42.261,1.021
42.291,1.030
42.321,1.027
42.351,1.024
42.381,1.024
42.411,1.021
42.441,1.017
42.471,1.021
42.501,1.021
42.531,1.026
42.561,1.023
42.591,1.019
42.621,1.027
42.651,1.027
42.681,1.021
42.711,1.031
42.741,1.021
42.771,1.028
42.801,1.025
42.831,1.021
42.861,1.021
42.891,1.025
42.921,1.021
42.951,1.015
42.981,1.021
43.011,1.022
43.041,1.019
43.071,1.022
43.101,1.025
43.131,1.021
43.161,1.024
43.191,1.024
43.221,1.021
43.251,1.020
43.281,1.021
43.311,1.018
43.341,1.028
43.371,1.018
43.401,1.025
43.431,1.029
43.461,1.030
43.491,1.026
43.521,1.021
43.551,1.035
43.581,1.018
43.611,1.027
43.641,1.020
43.671,1.019
43.701,1.021
43.731,1.030
43.761,1.023
43.791,1.023
43.821,1.021
43.851,1.018
43.881,1.022
43.911,1.018
43.941,1.010
43.971,1.020
44.001,1.028
44.031,1.025
44.061,1.022
44.091,1.022
44.121,1.019
44.151,1.023
44.181,1.028
44.211,1.017
44.241,1.001
44.271,1.021
44.301,1.016
44.331,1.018
44.361,1.018
44.391,1.016
44.421,1.021
44.451,1.021
44.481,1.027
44.511,1.021
44.541,1.016
44.571,1.017
44.601,1.029
44.631,1.026
44.661,1.022
44.691,1.022
44.721,1.017
44.751,1.019
44.781,1.024
44.811,1.025
44.841,1.025
44.871,1.016
44.901,1.027
44.931,1.023
44.961,1.037
44.991,1.021
45.021,1.022
45.051,1.018
45.081,1.015
45.111,1.021
45.141,1.023
45.171,1.027
45.201,1.021
45.231,1.017
45.261,1.025
45.291,1.021
45.321,1.021
45.351,1.021
45.381,1.020
45.411,1.019
45.441,1.019
45.471,1.020
45.501,1.027
45.531,1.020
45.561,1.025
45.591,1.019
45.621,1.031
45.651,1.018
45.681,1.021
45.711,1.020
45.741,1.019
45.771,1.026
45.801,1.022
45.831,1.022
45.861,1.018
45.891,1.012
45.921,1.024
45.951,1.028
45.981,1.016
46.011,1.022
46.041,1.022
46.071,1.021
46.101,1.021
46.131,1.024
46.161,1.023
46.191,1.020
46.221,1.017
46.251,1.024
46.281,1.024
46.311,1.013
46.341,1.024
46.371,1.022
46.401,1.006
46.431,1.019
46.461,1.013
46.491,1.030
46.521,1.019
46.551,1.016
46.581,1.022
46.611,1.020
46.641,1.024
46.671,1.018
46.701,1.021
46.731,1.021
46.761,1.022
46.791,1.022
46.821,1.011
46.851,1.022
46.881,1.016
46.911,1.024
46.941,1.026
46.971,1.021
47.001,1.012
47.031,1.018
47.061,1.021
47.091,1.021
47.121,1.020
47.151,1.025
47.181,1.020
47.211,1.022
47.241,1.010
47.271,1.021
47.301,1.021
47.331,1.020
47.361,1.025
47.391,1.008
47.421,1.020
47.451,1.021
47.481,1.021
47.511,1.011
47.541,1.012
47.571,1.019
47.601,1.027
47.631,1.032
47.661,1.029
47.691,1.018
47.721,1.015
47.751,1.018
47.781,1.019
47.811,1.014
47.841,1.020
47.871,1.022
47.901,1.016
47.931,1.023
47.961,1.018
47.991,1.024
48.021,1.020
48.051,1.015
48.081,1.017
48.111,1.015
48.141,1.013
48.171,1.022
48.201,1.021
48.231,1.021
48.261,1.013
48.291,1.027
48.321,1.013
48.351,1.017
48.381,1.017
48.411,1.019
48.441,1.016
48.471,1.024
48.501,1.016
48.531,1.022
48.561,1.024
48.591,1.018
48.621,1.018
48.651,1.017
48.681,1.018
48.711,1.019
48.741,1.023
48.771,1.017
48.801,1.014
48.831,1.026
48.861,1.015
48.891,1.012
48.921,1.021
48.951,1.020
48.981,1.021
49.011,1.021
49.041,1.021
49.071,1.014
49.101,1.024
49.131,1.020
49.161,1.027
49.191,1.020
49.221,1.021
49.251,1.013
49.281,1.015
49.311,1.029
49.341,1.028
49.371,1.013
49.401,1.032
49.431,1.016
49.461,1.018
49.491,1.015
49.521,1.016
49.551,1.026
49.581,1.014
49.611,1.010
49.641,1.018
49.671,1.022
49.701,1.020
49.731,1.017
49.761,1.027
49.791,1.019
49.821,1.013
49.851,1.022
49.881,1.036
49.911,1.016
49.941,1.040
49.971,1.008
50.001,1.016
50.031,1.021
50.061,1.010
50.091,1.016
50.121,1.025
50.151,1.014
50.181,1.031
50.211,1.012
50.241,1.022
50.271,1.017
50.301,1.016
50.331,1.018
50.361,1.019
50.391,1.005
50.421,1.020
50.451,1.013
50.481,1.021
50.511,1.021
50.541,1.015
50.571,1.018
50.601,1.014
50.631,1.029
50.661,1.014
50.691,1.020
50.721,1.005
50.751,1.014
50.781,1.022
50.811,1.021
50.841,1.012
50.871,1.028
50.901,1.021
50.931,1.024
50.961,1.009
50.991,0.999
51.021,1.018
51.051,1.017
51.081,1.021
51.111,1.021
51.141,1.019
51.171,1.018
51.201,1.018
51.231,1.027
51.261,1.002
51.291,1.025
51.321,1.017
51.351,1.012
51.381,1.019
51.411,1.022
51.441,1.021
51.471,1.019
51.501,1.009
51.531,1.022
51.561,1.016
51.591,1.013
51.621,1.015
51.651,1.020
51.681,1.017
51.711,1.018
51.741,1.017
51.771,1.013
51.801,1.012
51.831,1.016
51.861,1.025
51.891,1.013
51.921,1.011
51.951,1.016
51.981,1.016
52.011,1.019
52.041,1.017
52.071,1.030
52.101,1.021
52.131,1.017
52.161,1.019
52.191,1.013
52.221,1.015
52.251,1.009
52.281,1.018
52.311,1.016
52.341,1.020
52.371,1.016
52.401,1.019
52.431,1.014
52.461,1.016
52.491,1.012
52.521,1.017
52.551,1.017
52.581,1.017
52.611,1.012
52.641,1.018
52.671,1.013
52.701,1.007
52.731,1.026
52.761,1.024
52.791,1.017
52.821,1.015
52.851,1.022
52.881,1.019
52.911,1.014
52.941,1.015
52.971,1.018
53.001,1.018
53.031,1.019
53.061,1.011
53.091,1.018
53.121,1.019
53.151,1.014
53.181,1.012
53.211,1.019
53.241,1.021
53.271,1.010
53.301,1.021
53.331,1.017
53.361,1.017
53.391,1.018
53.421,1.015
53.451,1.016
53.481,1.012
53.511,1.026
53.541,1.015
53.571,1.017
53.601,1.021
53.631,1.021
53.661,1.015
53.691,1.016
53.721,1.020
53.751,1.021
53.781,1.013
53.811,1.010
53.841,1.024
53.871,1.015
53.901,1.012
53.931,1.024
53.961,1.025
53.991,1.016
54.021,1.019
54.051,1.018
54.081,1.018
54.111,1.012
54.141,1.020
54.171,1.021
54.201,1.018
54.231,1.021
