df_hash,22ZHK4.UNGTKH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7KWE
person_label,V152
date_time_start,2026-06-08_18-35-23.944000_+03
date_time_start_unix,1780925723.944
date_time_end,2026-06-08_18-48-41.887000_+03
length_difference_noticed,no

time,acc_mag
57.803,1.044
57.833,1.045
57.863,1.048
57.893,1.041
57.923,1.049
57.953,1.033
57.983,1.038
58.013,1.044
58.043,1.046
58.073,1.039
58.103,1.045
58.133,1.043
58.163,1.035
58.193,1.042
58.223,1.036
58.253,1.029
58.283,1.037
58.313,1.045
58.343,1.045
58.373,1.042
58.403,1.040
58.433,1.040
58.463,1.035
58.493,1.039
58.523,1.042
58.553,1.039
58.583,1.044
58.613,1.042
58.643,1.037
58.673,1.034
58.703,1.044
58.733,1.045
58.763,1.044
58.793,1.037
58.823,1.035
58.853,1.037
58.883,1.042
58.913,1.043
58.943,1.034
58.973,1.040
59.003,1.049
59.033,1.042
59.063,1.044
59.093,1.037
59.123,1.030
59.153,1.031
59.183,1.031
59.213,1.034
59.243,1.036
59.273,1.041
59.303,1.051
59.333,1.045
59.363,1.033
59.393,1.049
59.423,1.051
59.453,1.050
59.483,1.039
59.513,1.040
59.543,1.046
59.573,1.024
59.603,1.014
59.633,1.016
59.663,1.032
59.693,1.060
59.723,1.062
59.753,1.044
59.783,1.041
59.813,1.049
59.843,1.052
59.873,1.054
59.903,1.047
59.933,1.048
59.963,1.044
59.993,1.045
60.023,1.041
60.053,1.032
60.083,1.034
60.113,1.039
60.143,1.051
60.173,1.040
60.203,1.037
60.233,1.039
60.263,1.037
60.293,1.043
60.323,1.040
60.353,1.036
60.383,1.043
60.413,1.045
60.443,1.044
60.473,1.039
60.503,1.043
60.533,1.042
60.563,1.037
60.593,1.039
60.623,1.034
60.653,1.036
60.683,1.045
60.713,1.049
60.743,1.043
60.773,1.039
60.803,1.041
60.833,1.044
60.863,1.043
60.893,1.034
60.923,1.038
60.953,1.045
60.983,1.047
61.013,1.043
61.043,1.036
61.073,1.036
61.103,1.043
61.133,1.046
61.163,1.044
61.193,1.041
61.223,1.045
61.253,1.038
61.283,1.042
61.313,1.041
61.343,1.041
61.373,1.043
61.403,1.047
61.433,1.044
61.463,1.038
61.493,1.037
61.523,1.042
61.553,1.053
61.583,1.041
61.613,1.039
61.643,1.044
61.673,1.048
61.703,1.044
61.733,1.038
61.763,1.037
61.793,1.043
61.823,1.045
61.853,1.048
61.883,1.042
61.913,1.043
61.943,1.044
61.973,1.045
62.003,1.045
62.033,1.040
62.063,1.040
62.093,1.040
62.123,1.045
62.153,1.042
62.183,1.042
62.213,1.038
62.243,1.042
62.273,1.052
62.303,1.044
62.333,1.042
62.363,1.040
62.393,1.045
62.423,1.044
62.453,1.045
62.483,1.037
62.513,1.041
62.543,1.045
62.573,1.048
62.603,1.045
62.633,1.047
62.663,1.047
62.693,1.046
62.723,1.041
62.753,1.040
62.783,1.043
62.813,1.048
62.843,1.055
62.873,1.046
62.903,1.048
62.933,1.056
62.963,1.060
62.993,1.059
63.023,1.063
63.053,1.062
63.083,1.054
63.113,1.063
63.143,1.083
63.173,1.089
63.203,1.068
63.233,1.099
63.263,1.081
63.293,1.005
63.323,1.007
63.353,1.025
63.383,1.046
63.413,1.026
63.443,0.999
63.473,0.979
63.503,0.995
63.533,0.996
63.563,1.013
63.593,1.022
63.623,1.030
63.653,1.042
63.683,1.030
63.713,1.028
63.743,1.034
63.773,1.007
63.803,1.013
63.833,1.012
63.863,1.043
63.893,1.064
63.923,1.068
63.953,1.058
63.983,1.036
